rainhas,algoritmo,iteracao,tempo,memoria_pico_b,total_conflitos,rainhas_conflitos,conflitos_linha,conflitos_diagonais
10,backtracking,1,0.001702,1568.00,0,0,0,0
10,backtracking,2,0.001719,1568.00,0,0,0,0
10,backtracking,3,0.001652,1568.00,0,0,0,0
10,backtracking,4,0.001674,1568.00,0,0,0,0
10,backtracking,5,0.001879,1568.00,0,0,0,0
10,backtracking,6,0.001719,1568.00,0,0,0,0
10,backtracking,7,0.001682,1568.00,0,0,0,0
10,backtracking,8,0.001682,1568.00,0,0,0,0
10,backtracking,9,0.001774,1568.00,0,0,0,0
10,backtracking,10,0.001682,1568.00,0,0,0,0
10,backtracking,11,0.001687,1568.00,0,0,0,0
10,backtracking,12,0.001793,1568.00,0,0,0,0
10,backtracking,13,0.001724,1568.00,0,0,0,0
10,backtracking,14,0.001680,1568.00,0,0,0,0
10,backtracking,15,0.001758,1568.00,0,0,0,0
10,backtracking,16,0.001734,1568.00,0,0,0,0
10,backtracking,17,0.001692,1568.00,0,0,0,0
10,backtracking,18,0.001679,1568.00,0,0,0,0
10,backtracking,19,0.001802,1568.00,0,0,0,0
10,backtracking,20,0.001716,1568.00,0,0,0,0
10,backtracking,21,0.001696,1568.00,0,0,0,0
10,backtracking,22,0.001647,1568.00,0,0,0,0
10,backtracking,23,0.001640,1568.00,0,0,0,0
10,backtracking,24,0.001651,1568.00,0,0,0,0
10,backtracking,25,0.001709,1568.00,0,0,0,0
10,backtracking,26,0.001782,1568.00,0,0,0,0
10,backtracking,27,0.001705,1568.00,0,0,0,0
10,backtracking,28,0.001690,1568.00,0,0,0,0
10,backtracking,29,0.001672,1568.00,0,0,0,0
10,backtracking,30,0.001799,1568.00,0,0,0,0
10,simple_greedy,1,0.000111,248.00,4,8,4,0
10,simple_greedy,2,0.000098,248.00,4,8,4,0
10,simple_greedy,3,0.000095,248.00,4,8,4,0
10,simple_greedy,4,0.000101,248.00,4,8,4,0
10,simple_greedy,5,0.000120,248.00,4,8,4,0
10,simple_greedy,6,0.000124,248.00,4,8,4,0
10,simple_greedy,7,0.000140,248.00,4,8,4,0
10,simple_greedy,8,0.000124,248.00,4,8,4,0
10,simple_greedy,9,0.000095,248.00,4,8,4,0
10,simple_greedy,10,0.000094,248.00,4,8,4,0
10,simple_greedy,11,0.000094,248.00,4,8,4,0
10,simple_greedy,12,0.000094,248.00,4,8,4,0
10,simple_greedy,13,0.000098,248.00,4,8,4,0
10,simple_greedy,14,0.000094,248.00,4,8,4,0
10,simple_greedy,15,0.000094,248.00,4,8,4,0
10,simple_greedy,16,0.000122,248.00,4,8,4,0
10,simple_greedy,17,0.000094,248.00,4,8,4,0
10,simple_greedy,18,0.000094,248.00,4,8,4,0
10,simple_greedy,19,0.000094,248.00,4,8,4,0
10,simple_greedy,20,0.000095,248.00,4,8,4,0
10,simple_greedy,21,0.000093,248.00,4,8,4,0
10,simple_greedy,22,0.000094,248.00,4,8,4,0
10,simple_greedy,23,0.000098,248.00,4,8,4,0
10,simple_greedy,24,0.000094,248.00,4,8,4,0
10,simple_greedy,25,0.000104,248.00,4,8,4,0
10,simple_greedy,26,0.000094,248.00,4,8,4,0
10,simple_greedy,27,0.000099,248.00,4,8,4,0
10,simple_greedy,28,0.000104,248.00,4,8,4,0
10,simple_greedy,29,0.000101,248.00,4,8,4,0
10,simple_greedy,30,0.000095,248.00,4,8,4,0
10,random_greedy,1,0.000156,376.00,3,5,1,2
10,random_greedy,2,0.000139,376.00,3,5,1,2
10,random_greedy,3,0.000132,376.00,3,5,1,2
10,random_greedy,4,0.000146,376.00,3,5,1,2
10,random_greedy,5,0.000123,376.00,3,5,1,2
10,random_greedy,6,0.000120,376.00,3,5,1,2
10,random_greedy,7,0.000126,376.00,3,5,1,2
10,random_greedy,8,0.000130,376.00,3,5,1,2
10,random_greedy,9,0.000125,376.00,3,5,1,2
10,random_greedy,10,0.000123,376.00,3,5,1,2
10,random_greedy,11,0.000123,376.00,3,5,1,2
10,random_greedy,12,0.000155,376.00,3,5,1,2
10,random_greedy,13,0.000125,376.00,3,5,1,2
10,random_greedy,14,0.000122,376.00,3,5,1,2
10,random_greedy,15,0.000123,376.00,3,5,1,2
10,random_greedy,16,0.000124,376.00,3,5,1,2
10,random_greedy,17,0.000125,376.00,3,5,1,2
10,random_greedy,18,0.000127,376.00,3,5,1,2
10,random_greedy,19,0.000143,376.00,3,5,1,2
10,random_greedy,20,0.000128,376.00,3,5,1,2
10,random_greedy,21,0.000128,376.00,3,5,1,2
10,random_greedy,22,0.000121,376.00,3,5,1,2
10,random_greedy,23,0.000127,376.00,3,5,1,2
10,random_greedy,24,0.000127,376.00,3,5,1,2
10,random_greedy,25,0.000126,376.00,3,5,1,2
10,random_greedy,26,0.000141,376.00,3,5,1,2
10,random_greedy,27,0.000127,376.00,3,5,1,2
10,random_greedy,28,0.000127,376.00,3,5,1,2
10,random_greedy,29,0.000130,376.00,3,5,1,2
10,random_greedy,30,0.000145,376.00,3,5,1,2
25,backtracking,1,2.120617,6496.00,0,0,0,0
25,backtracking,2,1.992087,6496.00,0,0,0,0
25,backtracking,3,1.989496,6496.00,0,0,0,0
25,backtracking,4,2.020435,6496.00,0,0,0,0
25,backtracking,5,2.041793,6496.00,0,0,0,0
25,backtracking,6,2.065104,6496.00,0,0,0,0
25,backtracking,7,2.024273,6496.00,0,0,0,0
25,backtracking,8,2.037372,6496.00,0,0,0,0
25,backtracking,9,2.057794,6496.00,0,0,0,0
25,backtracking,10,2.067244,6496.00,0,0,0,0
25,backtracking,11,2.046346,6496.00,0,0,0,0
25,backtracking,12,2.057885,6496.00,0,0,0,0
25,backtracking,13,2.047038,6496.00,0,0,0,0
25,backtracking,14,2.058435,6496.00,0,0,0,0
25,backtracking,15,2.048291,6496.00,0,0,0,0
25,backtracking,16,2.111028,6496.00,0,0,0,0
25,backtracking,17,2.018237,6496.00,0,0,0,0
25,backtracking,18,2.044226,6496.00,0,0,0,0
25,backtracking,19,2.032177,6496.00,0,0,0,0
25,backtracking,20,2.044871,6496.00,0,0,0,0
25,backtracking,21,2.130312,6496.00,0,0,0,0
25,backtracking,22,2.052301,6496.00,0,0,0,0
25,backtracking,23,2.152692,6496.00,0,0,0,0
25,backtracking,24,2.003064,6496.00,0,0,0,0
25,backtracking,25,2.041501,6496.00,0,0,0,0
25,backtracking,26,2.011143,6496.00,0,0,0,0
25,backtracking,27,1.987139,6496.00,0,0,0,0
25,backtracking,28,2.006916,6496.00,0,0,0,0
25,backtracking,29,2.077944,6496.00,0,0,0,0
25,backtracking,30,2.087229,6496.00,0,0,0,0
25,simple_greedy,1,0.002039,368.00,7,14,7,0
25,simple_greedy,2,0.002024,368.00,7,14,7,0
25,simple_greedy,3,0.002046,368.00,7,14,7,0
25,simple_greedy,4,0.002052,368.00,7,14,7,0
25,simple_greedy,5,0.002049,368.00,7,14,7,0
25,simple_greedy,6,0.002072,368.00,7,14,7,0
25,simple_greedy,7,0.002068,368.00,7,14,7,0
25,simple_greedy,8,0.002117,368.00,7,14,7,0
25,simple_greedy,9,0.002133,368.00,7,14,7,0
25,simple_greedy,10,0.002106,368.00,7,14,7,0
25,simple_greedy,11,0.002123,368.00,7,14,7,0
25,simple_greedy,12,0.002163,368.00,7,14,7,0
25,simple_greedy,13,0.002152,368.00,7,14,7,0
25,simple_greedy,14,0.002148,368.00,7,14,7,0
25,simple_greedy,15,0.002144,368.00,7,14,7,0
25,simple_greedy,16,0.002155,368.00,7,14,7,0
25,simple_greedy,17,0.002140,368.00,7,14,7,0
25,simple_greedy,18,0.002119,368.00,7,14,7,0
25,simple_greedy,19,0.002127,368.00,7,14,7,0
25,simple_greedy,20,0.002186,368.00,7,14,7,0
25,simple_greedy,21,0.002112,368.00,7,14,7,0
25,simple_greedy,22,0.002112,368.00,7,14,7,0
25,simple_greedy,23,0.002103,368.00,7,14,7,0
25,simple_greedy,24,0.002118,368.00,7,14,7,0
